bus,p_nom,carrier,entry,exit,efficiency,start_up_cost,ramp_limit_up,ramp_limit_down,p_min_pu,min_up_time,min_down_time,var_om,p_nom_max,p_nom_min,invest_status
CZ00,240.4828209764919,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,240.4828209764919,0.01,existing
CZ00,57.35804701627484,OCGT,2030,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,57.35804701627484,0.01,existing
CZ00,52.44665461121161,OCGT,2033,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,52.44665461121161,0.01,existing
DE00,130.1104180339462,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,130.1104180339462,0.01,existing
DE00,1630.2459848735534,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,1630.2459848735534,0.01,existing
DE00,2742.038402470923,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,2742.038402470923,0.01,existing
DE00,3900.8826350788713,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,3900.8826350788713,0.01,existing
DKE1,0.787557908669756,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,0.787557908669756,0.01,existing
DKE1,4.16280608868299,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,4.16280608868299,0.01,existing
DKE1,11.532097948378553,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,11.532097948378553,0.01,existing
DKW1,9.169424222369287,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,9.169424222369287,0.01,existing
DKW1,42.52812706816676,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,42.52812706816676,0.01,existing
DKW1,24.245532759761737,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,24.245532759761737,0.01,existing
EE00,138.81748071979433,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,138.81748071979433,0.01,existing
EE00,138.81748071979433,OCGT,2030,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,138.81748071979433,0.01,existing
ES00,8.335932451661677,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,8.335932451661677,0.01,existing
ES00,382.4557716697797,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,382.4557716697797,0.01,existing
FI00,22.334742239467857,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,22.334742239467857,0.01,existing
FI00,23.86190410199555,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,23.86190410199555,0.01,existing
FI00,203.87610864745014,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,203.87610864745014,0.01,existing
FI00,164.16990022172948,OCGT,2035,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,164.16990022172948,0.01,existing
FR00,54.1848001549688,OCGT,2028,2030.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,54.1848001549688,0.01,existing
FR00,205.9022405888809,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,205.9022405888809,0.01,existing
FR00,178.80984051139694,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,178.80984051139694,0.01,existing
FR00,1941.1704655517542,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,1941.1704655517542,0.01,existing
GR00,267.16691068814066,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,267.16691068814066,0.01,existing
GR00,1071.5513490901485,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,1071.5513490901485,0.01,existing
GR00,5.088893536916885,OCGT,2030,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,5.088893536916885,0.01,existing
HR00,87.88173237090508,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,87.88173237090508,0.01,existing
HR00,10.556635202665191,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,10.556635202665191,0.01,existing
HR00,52.602720710716284,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,52.602720710716284,0.01,existing
HU00,9.008882982443879,OCGT,2028,2033.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,9.008882982443879,0.01,existing
HU00,78.72980345527037,OCGT,2028,2035.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,78.72980345527037,0.01,existing
HU00,557.3756732181578,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,557.3756732181578,0.01,existing
HU00,276.9252290690355,OCGT,2030,inf,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,276.9252290690355,0.01,existing
IE00,790.6272694909222,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,790.6272694909222,0.01,existing
ITCA,556.1291290153508,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,556.1291290153508,0.01,existing
ITCN,318.1487866330724,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,318.1487866330724,0.01,existing
ITCS,1135.9300427504243,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,1135.9300427504243,0.01,existing
ITN1,4400.900403192703,OCGT,2028,2036.0,0.385,46.595,7.5,7.5,0.325,3.0,3.0,1.35,4400.900403192703,0.01,existing
